user_screen_name,created_at," San diego County, CA",text,fav,rt_count,friend,clean_text_1,clean_text_2,Aspect,Prediction
innerface,Fri Oct 29 03:45:19 +0000 2021,"Las Vegas, NV","@AmericanaMama_ Metallica - ride the sausage or maybe sausage messiah 
Bill Haley - rock around the sausage -the Beatles  I want hold your sausage (lgbt remix)",2,0,867, metallica  ride the sausage or maybe sausage messiah  bill haley  rock around the sausage the beatles  i want hold your sausage lgbt remix,metallica ride sausage maybe sausage messiah bill haley rock around sausage beatles want hold sausage lgbt remix,neutral,neutral
BlekWtf,Fri Oct 29 03:39:12 +0000 2021,"Las Vegas, NV",@neonsfn @vilo7x mf has an lgbt flag on their bio,1,0,224,  mf has an lgbt flag on their bio,mf lgbt flag bio,neutral,neutral
PromoHomoTV,Fri Oct 29 03:36:29 +0000 2021,"Las Vegas, NV",Fab Photo by Lani Garfield - taken at Center Stage benefiting The LGBTQ Community Center of the Desert. Find recent episodes about The Center at https://t.co/RDCOqsN79J #palmsprings #lgbt #lgbtq #lgbtqia #promohomotv @ILoveGayLGBT #ilovegaypalmsprings https://t.co/swcnpLfZnA,23,2,3291,fab photo by lani garfield  taken at center stage benefiting the lgbtq community center of the desert find recent episodes about the center at  palmsprings lgbt lgbtq lgbtqia promohomotv  ilovegaypalmsprings ,fab photo lani garfield taken center stage benefiting lgbtq community center desert find recent episodes center palmsprings lgbt lgbtq lgbtqia promohomotv ilovegaypalmsprings,pro-lgbt,pro-lgbt
Kdub68Kelly,Fri Oct 29 03:20:42 +0000 2021,"Las Vegas, NV",@thehill Nice the new LGBT-shirts are here,0,0,990, nice the new lgbtshirts are here,nice new lgbtshirts,neutral,neutral
bythesea66,Fri Oct 29 03:18:51 +0000 2021,"Las Vegas, NV","Police raid LSD&amp;#039;s headquarters, LGBT group https://t.co/ZJRzER4uVi",0,0,4969,police raid lsd headquarters lgbt group ,police raid lsd headquarters lgbt group,anti-lgbt,anti-lgbt
bythesea66,Fri Oct 29 03:08:24 +0000 2021,"Las Vegas, NV",Tunisia: Attack on Director of LGBT Group  https://t.co/XMKatdz561,0,0,4969,tunisia attack on director of lgbt group  ,tunisia attack director lgbt group,anti-lgbt,anti-lgbt
bythesea66,Fri Oct 29 03:08:07 +0000 2021,"Las Vegas, NV",FOCUS: Japan election pledges on LGBT rights boost legislation hopes https://t.co/xwK3hQsYsP,0,0,4969,focus japan election pledges on lgbt rights boost legislation hopes ,focus japan election pledges lgbt rights boost legislation hopes,pro-lgbt,pro-lgbt
bythesea66,Fri Oct 29 03:07:06 +0000 2021,"Las Vegas, NV",Election pledges on LGBT rights boost legislation hopes https://t.co/ayHMBfWi4m,0,0,4969,election pledges on lgbt rights boost legislation hopes ,election pledges lgbt rights boost legislation hopes,pro-lgbt,pro-lgbt
Kdub68Kelly,Fri Oct 29 02:39:06 +0000 2021,"Las Vegas, NV",@Frankie_chins @JackPosobiec @BringAmmo The new LGBT-shirt,0,0,990,   the new lgbtshirt,new lgbtshirt,neutral,neutral
amymebberson,Fri Oct 29 02:10:43 +0000 2021,"Las Vegas, NV","@R_JaniceOrlando I mean, it could just be me lol. I come from the epitome of suburban white-collar Boomer parents and I was very sheltered until I got to university and I was like âWHOA LGBT people &amp; social activism, what IS ALL THIS?? COOL!â",1,0,371, i mean it could just be me lol i come from the epitome of suburban whitecollar boomer parents and i was very sheltered until i got to university and i was like  whoa lgbt people  social activism what is all this cool ,mean could lol come epitome suburban whitecollar boomer parents sheltered got university like whoa lgbt people social activism cool,pro-lgbt,neutral
KAGESENSHIII,Fri Oct 29 02:04:54 +0000 2021,"Las Vegas, NV",ISSA BEAR ð» #gaybear #lgbt #gaymer #gay https://t.co/TwjilbaKGj,3,0,92,issa bear   gaybear lgbt gaymer gay ,issa bear gaybear lgbt gaymer gay,neutral,neutral
RalseiEnjoyer7,Fri Oct 29 01:27:39 +0000 2021,"Las Vegas, NV",@RespectElves What the fuck j was told it just meant characters who were openly lgbt+,0,0,274, what the fuck j was told it just meant characters who were openly lgbt,fuck j told meant characters openly lgbt,neutral,neutral
ILoveGayPS,Fri Oct 29 01:20:10 +0000 2021,"Las Vegas, NV","The artistâs laser light installation, ""Global Rainbow"", has been seen around the world and now itâs coming to Palm Springs during Greater Palm Springs Pride. #PalmSprings #PRIDE @ILoveGayArt #LGBTQ #LGBT https://t.co/vQuCuSVWHZ",16,2,2635,the artist s laser light installation global rainbow has been seen around the world and now it s coming to palm springs during greater palm springs pride palmsprings pride  lgbtq lgbt ,artist laser light installation global rainbow seen around world coming palm springs greater palm springs pride palmsprings pride lgbtq lgbt,pro-lgbt,pro-lgbt
ILoveGayPS,Fri Oct 29 01:15:10 +0000 2021,"Las Vegas, NV","Palm Springs is only one of nine desert cities that make up the golf course-studded oases flanked by the San Jacinto Mountains and Joshua Tree National Park. These nine towns all have bragging rights @ILoveLGBTTravel @PalmSpringsCA #LGBTQ #LGBT #Travel
https://t.co/jHvPbgol3B",13,2,2635,palm springs is only one of nine desert cities that make up the golf coursestudded oases flanked by the san jacinto mountains and joshua tree national park these nine towns all have bragging rights   lgbtq lgbt travel ,palm springs one nine desert cities make golf coursestudded oases flanked san jacinto mountains joshua tree national park nine towns bragging rights lgbtq lgbt travel,neutral,pro-lgbt
MarcusKowal,Fri Oct 29 01:10:13 +0000 2021,"Las Vegas, NV","@bobbyrazak @voodoomaximus No, about lgbt rights. I have 0 proof but I think heâs trying to give them a platform. Heâs definitely not against them; he supports them.",1,0,563,  no about lgbt rights i have  proof but i think he s trying to give them a platform he s definitely not against them he supports them,lgbt rights proof think trying give platform definitely supports,pro-lgbt,pro-lgbt
OmarVibe,Fri Oct 29 01:08:57 +0000 2021,"Las Vegas, NV",Anti-LGBT+ Chick-fil-A won't 'discriminate'... against anti-vaxxers ~ still a hard pass no because of their vaccine stance but ya know the other one ð¤¨ Never have eaten there once! https://t.co/hfuYAclFN6,2,0,2224,antilgbt chickfila will not  wouldiscriminate against antivaxxers  still a hard pass no because of their vaccine stance but ya know the other one   never have eaten there once ,antilgbt chickfila wouldiscriminate antivaxxers still hard pass vaccine stance ya know one never eaten,anti-lgbt,neutral
MarzGurl,Fri Oct 29 00:55:16 +0000 2021,"Las Vegas, NV","@PeterJPL1398 No, it's there. There's some tiny bit of violence, some tiny drops of swearing extremely intermittently. But absolutely nothing sexual in nature at all. Some have speculated that it's a bullshit warning because it's LGBT-friendly.",1,0,6704, no it is there there is some tiny bit of violence some tiny drops of swearing extremely intermittently but absolutely nothing sexual in nature at all some have speculated that it is a bullshit warning because it is lgbtfriendly,tiny bit violence tiny drops swearing extremely intermittently absolutely nothing sexual nature speculated bullshit warning lgbtfriendly,anti-lgbt,neutral
CellaDragon,Fri Oct 29 00:30:44 +0000 2021,"Las Vegas, NV","@mister_megiddo @GundamIsHere Oh, thanks for the info. Iâve only started watching Gundam maybe just under a year?

His stuff cracks me up! World be nice if it was mentioned that some in the lgbt either feel they canât speak against the hivemind or if they do, literally neither side mentions them. Only Dave C",3,0,56,  oh thanks for the info i ve only started watching gundam maybe just under a year  his stuff cracks me up world be nice if it was mentioned that some in the lgbt either feel they can t speak against the hivemind or if they do literally neither side mentions them only dave c,oh thanks info started watching gundam maybe year stuff cracks world nice mentioned lgbt either feel speak hivemind literally neither side mentions dave c,neutral,pro-lgbt
briantylercohen,Thu Oct 28 23:56:17 +0000 2021,"Las Vegas, NV","New Jerseyâs GOP gubernatorial candidate suggests that âa young child [coming] home questioning their sexualityâ means that âthereâs something terribly wrong with this curriculum.â

Just nakedly anti-LGBT rhetoric from this guy.
https://t.co/zdIJxA7s1X",336,79,980,new jersey s gop gubernatorial candidate suggests that  a young child coming home questioning their sexuality  means that  there s something terribly wrong with this curriculum   just nakedly antilgbt rhetoric from this guy ,new jersey gop gubernatorial candidate suggests young child coming home questioning sexuality means something terribly wrong curriculum nakedly antilgbt rhetoric guy,anti-lgbt,anti-lgbt
hexxdemon,Thu Oct 28 23:51:58 +0000 2021,"Las Vegas, NV",@Greater951 @brendegg_noni @dandotavi @Trophyxtx the reason why Riot cant have a canonically gay male couple just yet is entirely due to censorship in other countries. they would lose money and revenue because the LGBT culture is not as accepted in places like China just yet. its unfortunate.,0,0,270,    the reason why riot cant have a canonically gay male couple just yet is entirely due to censorship in other countries they would lose money and revenue because the lgbt culture is not as accepted in places like china just yet its unfortunate,reason riot cant canonically gay male couple yet entirely due censorship countries would lose money revenue lgbt culture accepted places like china yet unfortunate,anti-lgbt,anti-lgbt
AmeriCastPod,Thu Oct 28 23:44:01 +0000 2021,"Las Vegas, NV","@madrid_mike Itâs true. And particularly the older voters. 
Issues like lgbt rights, even climate, are one generation away from them and theyâre pretty susceptible to fox framing on it.",0,0,559, it s true and particularly the older voters  issues like lgbt rights even climate are one generation away from them and they re pretty susceptible to fox framing on it,true particularly older voters issues like lgbt rights even climate one generation away pretty susceptible fox framing,anti-lgbt,pro-lgbt
gaymlm,Thu Oct 28 23:30:06 +0000 2021,"Las Vegas, NV",Madison Cawthorn probably regrets asking a really stupid question on Twitter #lgbt https://t.co/6hprzXLANj https://t.co/WZN6vwzp4L,0,0,17103,madison cawthorn probably regrets asking a really stupid question on twitter lgbt  ,madison cawthorn probably regrets asking really stupid question twitter lgbt,neutral,neutral
lennyburnham,Thu Oct 28 23:24:01 +0000 2021,"Las Vegas, NV","Love this image that makes it look like theyâre all queer. The Eternals represent every part of the LGBT+ community: ally, gay, ally, ally, ally, ally, ally and ally. https://t.co/9wiLvcoWbX",15,1,608,love this image that makes it look like they re all queer the eternals represent every part of the lgbt community ally gay ally ally ally ally ally and ally ,love image makes look like queer eternals represent every part lgbt community ally gay ally ally ally ally ally ally,pro-lgbt,pro-lgbt
brdgllgn,Thu Oct 28 23:13:09 +0000 2021,"Las Vegas, NV","@Adi_exists @MattDB113 @PopCrave If you didnât care, you wouldnât reply. What were they then, if not gay/LGBT?",2,0,730,   if you didn t care you wouldn t reply what were they then if not gaylgbt,care reply gaylgbt,neutral,neutral
ecerv2004,Thu Oct 28 23:04:50 +0000 2021,"Las Vegas, NV","@pinocchioOTD @ericowensdc @BadLegalTakes @tedcruz ""Hate speech would be making fun of them because they are lgbt or white, black, brown."" 

Also you: ""I never said that was the only hate speech"".

You're a terrible liar to say the least.

And it's still hate speech, even if it's not up to your ""liking""",0,0,480,    hate speech would be making fun of them because they are lgbt or white black brown   also you i never said that was the only hate speech  you are a terrible liar to say the least  and it is still hate speech even if it is not up to your liking,hate speech would making fun lgbt white black brown also never said hate speech terrible liar say least still hate speech even liking,neutral,neutral
LALGBTCenter,Thu Oct 28 22:57:00 +0000 2021,"Las Vegas, NV","âWhen a person obtains identity documents that reflect their true identity, they live with greater dignity and respect."" âï¸ #LGBT #LGBTQ #Intersex #Transgender #Trans #Queer LEARN MORE: https://t.co/ERFgbzlr0s",5,1,444, when a person obtains identity documents that reflect their true identity they live with greater dignity and respect    lgbt lgbtq intersex transgender trans queer learn more ,person obtains identity documents reflect true identity live greater dignity respect lgbt lgbtq intersex transgender trans queer learn,pro-lgbt,anti-lgbt
APMC1985,Thu Oct 28 22:51:53 +0000 2021,"Las Vegas, NV","@jamran55 @barkbahlberg @bcpsleonardi @WiltonManorsES @RosiesBnG https://t.co/7Tyk9gxrzt  Correct, it is a fifteen minute walk from the school. Itâs a restaurant w/ a bar, like Applebeeâs, but caters to LGBT folks. Iâm guessing it is a bar at night. They toured the restaurant, and Iâm guessing they got some food. Thereâs a lot we donât know.",0,0,3184,       correct it is a fifteen minute walk from the school it s a restaurant w a bar like applebee s but caters to lgbt folks i m guessing it is a bar at night they toured the restaurant and i m guessing they got some food there s a lot we don t know,correct fifteen minute walk school restaurant w bar like applebee caters lgbt folks guessing bar night toured restaurant guessing got food lot know,pro-lgbt,pro-lgbt
nortonschool,Thu Oct 28 21:56:11 +0000 2021,"Las Vegas, NV","Dr. Russell Toomey, was recently interviewed by @ArizonaDailyStar. You can read ""New program aims to develop leadership skills in Tucson's LGBT community"" here: https://t.co/RS4kIsqAdm via @tucsonstar",0,0,1050,dr russell toomey was recently interviewed by  you can read new program aims to develop leadership skills in tucson is lgbt community here  via ,dr russell toomey recently interviewed read new program aims develop leadership skills tucson lgbt community via,pro-lgbt,pro-lgbt
jenkilks,Thu Oct 28 21:55:11 +0000 2021,"Las Vegas, NV","@realkatiejow The Queen of divisive partisan rhetoric in a non-partisan job who delights in the intentional triggering of POC, LGBT, and disabled suddenly wants to set aside differences?

Something tells me you know you finally went too far &amp; you're running scared.",6,0,1049, the queen of divisive partisan rhetoric in a nonpartisan job who delights in the intentional triggering of poc lgbt and disabled suddenly wants to set aside differences  something tells me you know you finally went too far  you are running scared,queen divisive partisan rhetoric nonpartisan job delights intentional triggering poc lgbt disabled suddenly wants set aside differences something tells know finally went far running scared,neutral,neutral
MadMaddy80,Thu Oct 28 21:49:01 +0000 2021,"Las Vegas, NV","But the outpouring of support Iâve seen runs SO contrary to the bigoted narrative that LGBT people are universally despised.  Weâre here, weâre queer and you know what?  Most are good with that. 

Love wins â¤ï¸â¤ï¸ðððð³ï¸ââ§ï¸ð³ï¸âðâ§",32,1,731,but the outpouring of support i ve seen runs so contrary to the bigoted narrative that lgbt people are universally despised  we re here we re queer and you know what  most are good with that   love wins                  ,outpouring support seen runs contrary bigoted narrative lgbt people universally despised queer know good love wins,pro-lgbt,neutral
BIGGSLUGGATHOR,Thu Oct 28 21:47:49 +0000 2021,"Las Vegas, NV",@MusicalTheologi im pretty sure it was only a discussion cus he was flamboyant and the lgbt+ crowd was gassing him up thinking that was groundbreaking,2,0,427, im pretty sure it was only a discussion cus he was flamboyant and the lgbt crowd was gassing him up thinking that was groundbreaking,im pretty sure discussion cus flamboyant lgbt crowd gassing thinking groundbreaking,neutral,neutral
shouxing3,Thu Oct 28 21:33:38 +0000 2021,"Las Vegas, NV","@Cameron83326017 @MykeHavoc @AreTudaEDub @PatrickZircher A few journalists ask redundant questions and we're supposed to feel exploited as a community for finally getting represented? Imo its not even the lgbt, media or writers going on about it, its the people who say its pandering or being rubbed in that dont stop talking about it.",4,0,424,    a few journalists ask redundant questions and we are supposed to feel exploited as a community for finally getting represented imo its not even the lgbt media or writers going on about it its the people who say its pandering or being rubbed in that dont stop talking about it,journalists ask redundant questions supposed feel exploited community finally getting represented imo even lgbt media writers going people say pandering rubbed dont stop talking,neutral,anti-lgbt
shouxing3,Thu Oct 28 21:10:40 +0000 2021,"Leimert Park, Los Angeles","@Cameron83326017 @MykeHavoc @AreTudaEDub @PatrickZircher He's also bad faith arguing, sure this certainly happens but any time theres an LGBT character often the case is a lot of us are just enjoying it for what it is and have to hear ""omg the media hyping this up cause gay stop rubbing it in our faces.""",1,0,424,    he is also bad faith arguing sure this certainly happens but any time theres an lgbt character often the case is a lot of us are just enjoying it for what it is and have to hear omg the media hyping this up cause gay stop rubbing it in our faces,also bad faith arguing sure certainly happens time theres lgbt character often case lot us enjoying hear omg media hyping cause gay stop rubbing faces,neutral,neutral
OnTheSpot2020,Thu Oct 28 21:03:45 +0000 2021,location,@LilNasX A vile representation of the LGBT culture in my book.,0,0,104, a vile representation of the lgbt culture in my book,vile representation lgbt culture book,anti-lgbt,anti-lgbt
Bri_ishTeacher,Thu Oct 28 21:00:01 +0000 2021,London and Los Angeles,Second meeting of our GSA and a S had these awesome shoes on!! #LGBT #GSA https://t.co/9X3aNb1ovp,13,0,8148,second meeting of our gsa and a s had these awesome shoes on lgbt gsa ,second meeting gsa awesome shoes lgbt gsa,neutral,pro-lgbt
GoodKindHappy,Thu Oct 28 20:58:24 +0000 2021,Long Beach,Chaos in the Schools - LGBT Bathroom Policies Lead to Sexual Assault of Teen Girl - Christian Life Daily https://t.co/yfZp95VyNy,0,0,3197,chaos in the schools  lgbt bathroom policies lead to sexual assault of teen girl  christian life daily ,chaos schools lgbt bathroom policies lead sexual assault teen girl christian life daily,anti-lgbt,anti-lgbt
BlackSun_,Thu Oct 28 20:40:11 +0000 2021,"Long Beach, CA","A lot of women were against suffrage, and against the failed ERA. Just as a lot of LGBT people make apologies for anti-LGBT bigotry. There's always an ecological niche for people in marginalized groups who are willing to betray the cause, to curry favor with reactionaries.",3,1,457,a lot of women were against suffrage and against the failed era just as a lot of lgbt people make apologies for antilgbt bigotry there is always an ecological niche for people in marginalized groups who are willing to betray the cause to curry favor with reactionaries,lot women suffrage failed era lot lgbt people make apologies antilgbt bigotry always ecological niche people marginalized groups willing betray cause curry favor reactionaries,neutral,neutral
BizzMctavish,Thu Oct 28 20:32:01 +0000 2021,"Long Beach, CA","I support LGBT

Let's
Go
Brandon
T",0,0,139,i support lgbt  let us go brandon t,support lgbt let us go brandon,pro-lgbt,pro-lgbt
BrodyLevesque,Thu Oct 28 20:31:37 +0000 2021,"Long Beach, CA","BAY VILLAGE, Oh. â A Northeast Ohio man is channeling his anger from his neighbor of eight years hurling anti-LGBTQ+ insults at him into queer advocacy. 
https://t.co/qV5api8B4W",1,1,4593,bay village oh   a northeast ohio man is channeling his anger from his neighbor of eight years hurling antilgbtq insults at him into queer advocacy  ,bay village oh northeast ohio man channeling anger neighbor eight years hurling antilgbtq insults queer advocacy,anti-lgbt,anti-lgbt
ilovegrover,Thu Oct 28 20:17:44 +0000 2021,"Long Beach, CA","@CryptekV @CapArtist5 @DrPaulGosar Don't repeat that three times. That would send the Earth off balance. The Ent will revolt.
https://t.co/MOyH8jC4HZ",1,0,658,   do not repeat that three times that would send the earth off balance the ent will revolt ,repeat three times would send earth balance ent revolt,neutral,neutral
BlackSun_,Thu Oct 28 20:17:33 +0000 2021,"Long Beach, CA","Chappelle's not remotely the first comic to deliberately start trouble with the LGBT community. Pryor was somewhat unique in starting his homophobic set with an admission (or fantasy) about having gay sex. Which of course makes perfect sense.

https://t.co/Y0HYxl9VN9",1,0,457,chappelle is not remotely the first comic to deliberately start trouble with the lgbt community pryor was somewhat unique in starting his homophobic set with an admission or fantasy about having gay sex which of course makes perfect sense  ,chappelle remotely first comic deliberately start trouble lgbt community pryor somewhat unique starting homophobic set admission fantasy gay sex course makes perfect sense,neutral,neutral
Therapy_Tribe,Thu Oct 28 20:10:15 +0000 2021,"Long Beach, CA","Discover InÃªs Paula, Art Therapist in London, specializing in Anxiety or Fears, Depression, LGBT Is... @ https://t.co/rebKSPDJTK",0,0,1147,discover inÃªs paula art therapist in london specializing in anxiety or fears depression lgbt is  ,discover inÃªs paula art therapist london specializing anxiety fears depression lgbt,neutral,neutral
jackwallmusic,Thu Oct 28 19:59:56 +0000 2021,"Long Beach, CA",@Dreams_Abroad @LeesaTruesdell @NomadicBackpac1 @GirlGoneIntl @BerlinTourism @strasbourg @Alsace @TwitterFrance @EU_Commission @TwitterEspana @Spain_inUK @SpainMFA @Madrid_MIA @top10traveler @XeniaKaepernick @ABritSoutherner @mattsnextsteps @SimonTurkas @JohnBeckley @jimmurty @beccablogs360 @emilyseyesexplo @expat_blog @AdamRogers2030 @ABlogAboutStuff @Veganella_ @ValenciaCity @LGBT @CasaBatlloGaudi @alhambracultura @inLOMBARDIA @cptsdfoundation @spaincultureus @ILoveGaySpain @spain @visitmaine @EdmondGagnon @live4sights @metrickmind @JLuckyLotus @AuraPriiscel @TravelwithGuy_ @DeanKarnazes @SpainInUSA @BerkleeCollege @AjuntamentVLC @berkleevalencia @MentalHealthAm @LucasVidalmusic Thatâs such an awesome story @EliSlavkin!,7,0,753,                                                 that s such an awesome story ,awesome story,neutral,neutral
DixonScorsese,Thu Oct 28 19:56:29 +0000 2021,"Long Beach, CA",@LGBT WTF IS WRONG WITH YALL! https://t.co/sQnxTl6RoB,0,0,1016, wtf is wrong with yall ,wtf wrong yall,neutral,neutral
SaraGhaleb,Thu Oct 28 19:52:46 +0000 2021,"Long Beach, CA",@lennyburnham It also sounds better to say what is actually in the movie because LGBT rep is so overused to be meaningless,2,0,675, it also sounds better to say what is actually in the movie because lgbt rep is so overused to be meaningless,also sounds better say actually movie lgbt rep overused meaningless,anti-lgbt,anti-lgbt
JHarkreader,Thu Oct 28 19:52:29 +0000 2021,"Long Beach, CA","#ThrowbackThursday ~chillin in my robe. ð¼
#LGBT https://t.co/BiDHPO3yKE",4,0,3511,throwbackthursday chillin in my robe   lgbt ,throwbackthursday chillin robe lgbt,neutral,neutral
HoityToity_CA,Thu Oct 28 19:46:35 +0000 2021,"Long Beach, CA",new @kingmalamusic just dropped and new @savefacenj drops at midnight itâs a good time for the lgbt community,6,1,1468,new  just dropped and new  drops at midnight it s a good time for the lgbt community,new dropped new drops midnight good time lgbt community,pro-lgbt,pro-lgbt
lennyburnham,Thu Oct 28 19:41:41 +0000 2021,"Long Beach, CA",Movies with a Cis gay guy gotta stop saying they have LGBT+ representation.,6,3,608,movies with a cis gay guy gotta stop saying they have lgbt representation,movies cis gay guy gotta stop saying lgbt representation,anti-lgbt,anti-lgbt
GOFIK,Thu Oct 28 19:32:54 +0000 2021,"Long Beach, CA","@samgeorgegh âThe Italian Senate voted on Wednesday to block debate over a bill that would make violence against women and LGBT+ people a hate crime, effectively killing off a proposal previously approved by the lower House of Parliamentâ. Is this what you oppose????",6,0,576,  the italian senate voted on wednesday to block debate over a bill that would make violence against women and lgbt people a hate crime effectively killing off a proposal previously approved by the lower house of parliament  is this what you oppose,italian senate voted wednesday block debate bill would make violence women lgbt people hate crime effectively killing proposal previously approved lower house parliament oppose,anti-lgbt,anti-lgbt
flaglib,Thu Oct 28 19:26:47 +0000 2021,"Long Beach, CA","Learn about the history of the #LGBT+ community in #Arizona: https://t.co/PjVlaBfRI5
This program is made possible by Arizona Humanities",0,0,539,learn about the history of the lgbt community in arizona  this program is made possible by arizona humanities,learn history lgbt community arizona program made possible arizona humanities,pro-lgbt,pro-lgbt
dilarascorsone,Thu Oct 28 19:25:39 +0000 2021,"Long Beach, CA",LGBTQA+ family In Italy please stay safe and strong. Sending hugs ð¥ºð³ï¸âð my heart is breaking for you! #Italy #LGBT,0,0,650,lgbtqa family in italy please stay safe and strong sending hugs       my heart is breaking for you italy lgbt,lgbtqa family italy please stay safe strong sending hugs heart breaking italy lgbt,pro-lgbt,pro-lgbt
FriendlyCatWife,Thu Oct 28 19:19:32 +0000 2021,"Long Beach, CA",There is substantial LGBT âcharacterâ in Lightyear. Perhaps even Disneyâs first queer character? https://t.co/9llDJzdPCL,1,0,204,there is substantial lgbt  character  in lightyear perhaps even disney s first queer character ,substantial lgbt character lightyear perhaps even disney first queer character,,pro-lgbt
Styles_furious,Thu Oct 28 19:09:49 +0000 2021,"Long Beach, CA",@gayfairy26 @Heffa_Please @MawusiTure @liishaMAC Lol not at all Iâm saying he was just a prime example of what it looked like to understand intersectionality and the importance of building safe spaces within the black community. He recognized his agenda was separate from his white LGBT peers.,0,0,843,    lol not at all i m saying he was just a prime example of what it looked like to understand intersectionality and the importance of building safe spaces within the black community he recognized his agenda was separate from his white lgbt peers,lol saying prime example looked like understand intersectionality importance building safe spaces within black community recognized agenda separate white lgbt peers,,pro-lgbt
supermishelle,Thu Oct 28 18:38:45 +0000 2021,"Long Beach, CA",So how tf can you say with a straight face that the LGBT community isnât protesting for Black lives when the entire BLM movement was literally started by queer Black femmes????? https://t.co/DNPcLYRy2b,3,0,241,so how tf can you say with a straight face that the lgbt community isn t protesting for black lives when the entire blm movement was literally started by queer black femmes ,tf say straight face lgbt community protesting black lives entire blm movement literally started queer black femmes,,neutral
LGBTMarriage,Thu Oct 28 18:35:30 +0000 2021,"Long Beach, CA","#CANADA: #BC provincial legislator introduces bill to ban anti-#LGBT ""conversion therapy"" (Private members bills rarely become law in Canada, and the province's government has not previously supported this legislation). https://t.co/AP8OxhJaTi",9,4,273,canada bc provincial legislator introduces bill to ban antilgbt conversion therapy private members bills rarely become law in canada and the province is government has not previously supported this legislation ,canada bc provincial legislator introduces bill ban antilgbt conversion therapy private members bills rarely become law canada province government previously supported legislation,,anti-lgbt
abc7community,Thu Oct 28 17:39:00 +0000 2021,"Long Beach, CA","#LGBTQHistoryMonth ð³ï¸âð The #Stonewall Riots in 1969 are considered by many to be the start of the gay rights movement, but there are other advocates and events in support of the #LGBTQ community that pre-date Stonewall. https://t.co/PC2gLJlWtn",0,0,478,lgbtqhistorymonth      the stonewall riots in  are considered by many to be the start of the gay rights movement but there are other advocates and events in support of the lgbtq community that predate stonewall ,lgbtqhistorymonth stonewall riots considered many start gay rights movement advocates events support lgbtq community predate stonewall,,pro-lgbt
ZaraTalks,Thu Oct 28 17:32:59 +0000 2021,"long beach, california",Can someone tell me what happened to the âQâ in LGBT? I tried to search back on Twitter and got quite lost ð https://t.co/mT2OU6vEfJ,2,0,1409,can someone tell me what happened to the  q  in lgbt i tried to search back on twitter and got quite lost   ,someone tell happened q lgbt tried search back twitter got quite lost,,neutral
Styles_furious,Thu Oct 28 17:31:58 +0000 2021,Los Angeles,@CTRL_FREAQ @TriniBabee_ Welcome to the saga of Dave Chapelle fans vs the LGBT community.,0,0,843,  welcome to the saga of dave chapelle fans vs the lgbt community,welcome saga dave chapelle fans vs lgbt community,,pro-lgbt
EddyGwo,Thu Oct 28 17:25:49 +0000 2021,Los Angeles,"@EscaflowneClown And they still donât give a fuck bout yâall so how does that feel other then taking culture 

Stop grouping black lgbt and white itâs a different world 

Thatâs all Iâm saying",5,0,421, and they still don t give a fuck bout y all so how does that feel other then taking culture   stop grouping black lgbt and white it s a different world   that s all i m saying,still give fuck bout feel taking culture stop grouping black lgbt white different world saying,,neutral
shari_tharp,Thu Oct 28 17:24:52 +0000 2021,Los Angeles,"There was a young man who lived in a shoeâ¦and he knew just what to do. Certain he wanted a typical life, he went in search of a wife. His best friend Stu was there with advice. In the end, he &amp; Stu did live in that shoe with their dog, their cat, and goldfish too. #PBpitch #LGBT",1,0,320,there was a young man who lived in a shoe and he knew just what to do certain he wanted a typical life he went in search of a wife his best friend stu was there with advice in the end he  stu did live in that shoe with their dog their cat and goldfish too pbpitch lgbt,young man lived shoe knew certain wanted typical life went search wife best friend stu advice end stu live shoe dog cat goldfish pbpitch lgbt,,neutral
Styles_furious,Thu Oct 28 17:21:52 +0000 2021,Los Angeles,@Dot21280827 @MawusiTure @liishaMAC Exxxactly intersectionality. His community was still black regardless of sexual orientation. His battles as a black man remained wherever he went. White LGBT men lynched too.,0,0,843,   exxxactly intersectionality his community was still black regardless of sexual orientation his battles as a black man remained wherever he went white lgbt men lynched too,exxxactly intersectionality community still black regardless sexual orientation battles black man remained wherever went white lgbt men lynched,,neutral
LaurieBarron19,Thu Oct 28 17:19:34 +0000 2021,Los Angeles,"https://t.co/r3WYLGWTSP I wiped the rain from my eyes.  The saliva ran down the side of my mouth.  Attack! 
It was soon over.  I so liked the color blue and how it looked on me, but now my t-shirt was adorned in crimson red.   #LGBT #writing  #vampire  #WritingCommunity",1,0,4725, i wiped the rain from my eyes  the saliva ran down the side of my mouth  attack  it was soon over  i so liked the color blue and how it looked on me but now my tshirt was adorned in crimson red   lgbt writing  vampire  writingcommunity,wiped rain eyes saliva ran side mouth attack soon liked color blue looked tshirt adorned crimson red lgbt writing vampire writingcommunity,,neutral
Styles_furious,Thu Oct 28 17:15:31 +0000 2021,Los Angeles,"@TimeIsNotGiven @Heffa_Please @MawusiTure @liishaMAC Exactly, a fight that continues to this day for many people Iâm sure. Yet uniquely the common factor amongst these fighters remains the common factorâ¦..âblackâ.  Not sexual orientation. White LGBT men hung us from trees too.",0,0,843,    exactly a fight that continues to this day for many people i m sure yet uniquely the common factor amongst these fighters remains the common factor  black   not sexual orientation white lgbt men hung us from trees too,exactly fight continues day many people sure yet uniquely common factor amongst fighters remains common factor black sexual orientation white lgbt men hung us trees,,neutral
